population,gene,n_alleles_reported,n_alleles_scored,mass_reported,coverage,expected_auroc
Tunisia pop 3,B,24,18,0.552,0.7934782608695653,0.9751964920853212
Israel Poland Jews,B,103,48,1.0000660000000001,0.9514612035605647,0.9752282827890972
USA NMDP Middle Eastern or North Coast of Africa,B,255,62,0.999806,0.9581038721511974,0.975229797847962
Czech Republic,B,217,53,0.8430000000000001,0.9430604982206405,0.975251156492543
Switzerland Luzern,B,127,48,0.9892999999999998,0.8911351460628728,0.9753333979654899
Israel USA Jews,B,112,50,1.000403,0.9569273582746153,0.9754012355278885
USA NMDP North American Amerindian,B,188,57,0.99993,0.9615973118118268,0.9754220394872573
Morocco Atlantic Coast Chaouya,B,32,25,0.758,0.8984168865435357,0.9754261973092974
Morocco Settat Chaouya,B,1259,55,0.7580000000000001,0.8984168865435356,0.9754261973092974
Romania,B,234,61,0.9650000000000001,0.9077720207253885,0.9754893950032628
Israel Bukhara Jews,B,140,38,0.9994969999999999,0.8215432362478329,0.9754922453625519
Germany DKMS - Croatia minority,B,70,47,0.9998,0.9620924184836965,0.9755133781708906
Tunisia Gabes,B,33,24,1.0036,0.8063969709047429,0.975536126466253
"Spain (Catalunya, Navarra, Extremadura, AaragÃ³n, Cantabria,",B,113,53,0.9988,0.9654585502603122,0.9755424537579229
India New Delhi,B,26,18,0.8220000000000001,0.8868613138686132,0.9755609971539005
Georgia Svaneti Region Svan,B,26,22,0.961,0.9677419354838712,0.9755614351141529
USA NMDP Hispanic South or Central American,B,327,61,1.000266,0.8615358314688292,0.9755862811070454
Belgium,B,19,16,0.5559999999999999,0.9640287769784174,0.9755916053736031
Saudi Arabia Guraiat and Hail,B,48,34,0.9959999999999999,0.9126506024096387,0.9756012177111396
USA NMDP Japanese,B,95,52,0.9095,0.9581528312259484,0.975671828320481
Israel Argentina Jews,B,99,45,0.9993089999999998,0.9528874452246504,0.9756729295147579
Germany DKMS - Italy minority,B,79,48,0.9987,0.9673575648342846,0.9757016890880141
Sweden Northern Sami,B,18,18,1.0,1.0,0.9757432145769943
Taiwan Siraya,B,186,49,1.0,0.911,0.9757467588219204
India Tamil Nadu Nadar,B,11,6,0.6719999999999999,0.7083333333333335,0.9757865186567808
Mali Bandiagara,B,65,44,0.9940000000000001,0.8832997987927563,0.9757919505338892
India Mumbai Maratha,B,67,27,0.877,0.6271379703534777,0.9758019636328861
USA Hispanic,B,98,56,0.9950000000000001,0.8834170854271356,0.9758186887642725
Germany DKMS - Turkey minority,B,99,58,0.9993000000000001,0.9487641348944261,0.9758207387474734
Israel YemenJews,B,148,47,1.0002119999999999,0.8613443949882625,0.9758211555297028
Israel Ashkenazi and Non Ashkenazi Jews,B,45,28,0.8240000000000001,0.7524271844660195,0.9758499724687228
Croatia,B,205,47,0.9890000000000001,0.9524772497472194,0.9758766904235742
USA Hispanic pop 2,B,184,60,1.0025,0.8663341645885285,0.9758773285353102
Panama,B,91,46,0.9907,0.7931765418391036,0.9759130015642635
Azores Central Islands,B,34,33,1.002,0.9999999999999998,0.9759575607671168
Iran Tabriz Azeris,B,38,27,1.0007,0.9274507844508844,0.975993283951099
Mexico Mexico City Tlalpan,B,46,34,0.9903999999999998,0.9359854604200325,0.975995918112971
Russia Bering  Island Aleuts,B,34,31,1.0,0.9760000000000002,0.9760023888518792
Bulgaria,B,449,49,0.578,0.8737024221453286,0.9760067632861913
Germany DKMS - Greece minority,B,75,48,0.9998,0.9585917183436687,0.9760120887126067
China Tibet Region Tibetan,B,574,57,0.81,0.9518518518518518,0.9760508393509252
Tunisia,B,33,26,0.773,0.9223803363518759,0.9760542221266025
Japan Central,B,38,27,0.994,0.9577464788732394,0.976100353160581
Japan pop 16,B,75,39,1.0007000000000001,0.954681722794044,0.9761701574822498
Japan pop 5,B,25,22,0.999,0.977977977977978,0.9761716947122879
Colombia BogotÃ¡ Cord Blood,B,98,48,1.0,0.7883000000000001,0.976211514588677
Senegal Niokholo Mandenka,B,33,19,0.9400000000000001,0.7074468085106383,0.9762280721657733
Japan pop 3,B,38,26,0.9850000000000001,0.9593908629441623,0.9762895314488472
USA NMDP Mexican or Chicano,B,302,61,0.999685,0.8772793429930428,0.9763606981972429
Armenia combined Regions,B,31,25,0.9800000000000001,0.9438775510204082,0.9763759861149024
Mexico Mexico City Mestizo population,B,60,39,0.99,0.7844444444444442,0.9763818740900112
Chile Santiago Mixed,B,37,29,0.6282,0.8465456860872335,0.9764522608254874
Israel Tunisia Jews,B,95,44,1.000178,0.9076854319931051,0.9764589139683653
Taiwan Paiwan,B,180,45,1.0,0.99,0.9764605721350363
Greece pop 8,B,39,34,1.0001,0.9639036096390362,0.9764827923792491
Oman,B,237,62,0.9960000000000001,0.9799196787148594,0.9766038716795823
USA NMDP Alaska Native or Aleut,B,55,44,0.9930000000000001,0.9798590130916414,0.9766236540763276
