population,gene,n_alleles_reported,n_alleles_scored,mass_reported,coverage,expected_auroc
Germany DKMS - United Kingdom minority,C,32,21,0.9957999999999999,0.991664992970476,0.9506087963438556
Switzerland Zurich,C,52,23,0.9961,0.9897600642505773,0.9506231126621483
USA NMDP European Caucasian,C,181,24,1.0000722,0.9978704537532391,0.9506405289950907
Netherlands Leiden,C,314,24,0.993,0.9919436052366567,0.950773464912387
Switzerland Luzern,C,52,23,0.9916,0.9843686970552644,0.9508040233158719
Brazil  Puyanawa,C,20,18,1.0010000000000001,0.8801198801198801,0.950821778644759
Russia Tuva pop 2,C,22,16,0.8750000000000001,0.9359999999999999,0.95088385759067
Ireland South,C,21,18,1.0,0.986,0.9509208742873986
South Korea pop 1,C,9,9,0.638,1.0,0.950981627411683
USA Caucasian pop 4,C,27,22,0.9998000000000001,0.9972994598919784,0.9510702508092138
USA Caucasian pop 2,C,31,23,1.003,0.9960119641076772,0.9510991875715042
Russia Transbaikal Territory Buryats,C,24,21,1.001,0.9770229770229772,0.9512538804147636
USA Hispanic pop 2,C,90,24,1.0010000000000001,0.96003996003996,0.9512558411447247
United Kingdom pop 3,C,28,23,0.9930000000000001,1.0000000000000002,0.9513335762150527
USA Caucasian Bethesda,C,136,24,0.996,0.995983935742972,0.9513977627194838
Switzerland Bern,C,52,23,0.994,0.9921529175050304,0.9514049490121856
England North West,C,17,17,0.907,1.0,0.9514382375837246
Singapore SGVP Malay MAS,C,25,21,1.0,0.9940000000000001,0.9515054361447385
India West Bhil,C,28,11,0.63,0.6825396825396826,0.9516493200034326
Singapore Riau Malay,C,19,15,0.9450000000000002,0.8613756613756614,0.9516658024124774
China North Han pop 2,C,45,23,1.0003,0.968109567129861,0.9516846289214493
USA Hispanic,C,31,23,1.0,0.9940000000000001,0.9517085600156042
Switzerland Geneva,C,38,22,0.8799999999999999,1.0000000000000002,0.9518085747088464
USA North American Native,C,31,23,1.0,0.901,0.951883794086709
Papua New Guinea West Schrader Ranges Haruai,C,13,13,0.9189999999999999,1.0,0.9519643931472668
Switzerland Aargau-Solothurn,C,52,23,0.9931000000000001,0.9959722082368341,0.9520387228662266
Netherlands UMCU,C,17,16,0.9686,0.991947140202354,0.9520895890009355
USA NMDP Alaska Native or Aleut,C,26,20,1.002,0.9590818363273452,0.9520992247396998
USA NMDP American Indian South or Central America,C,29,23,0.9970000000000002,0.9849548645937812,0.9521851946122769
Australia New South Wales Caucasian,C,19,19,0.9119999999999999,1.0,0.9522323586434783
Russia Nenet Mixed,C,25,11,0.62,0.9806451612903225,0.9522470945579294
USA Asian pop 2,C,90,24,1.0006,0.9859084549270438,0.9522818066479172
Colombia BogotÃ¡ Cord Blood,C,36,21,0.9997,0.9431829548864659,0.9522911938493428
China Beijing,C,18,18,0.9900000000000001,1.0,0.9522963240417102
USA NMDP Hispanic South or Central American,C,81,24,0.9998880000000001,0.966049197510121,0.9523166357069849
Papua New Guinea Eastern Highlands Goroka Asaro,C,13,13,1.001,1.0,0.9524564946290786
France West,C,109,23,0.9598,0.9947905813711189,0.9525918269213961
USA San Antonio Caucasian,C,93,24,0.9999000000000001,0.9908990899089908,0.9525947444576243
USA NMDP North American Amerindian,C,60,24,1.00013,0.9857718496595443,0.9526076570495952
Papua New Guinea Wanigela Keapara,C,13,13,1.0010000000000001,1.0,0.9526279863705258
Germany DKMS - China minority,C,33,22,0.9973,0.9774390855309335,0.9527006227385793
Thailand,C,17,17,1.0010000000000001,1.0,0.952711925844775
USA NMDP Mexican or Chicano,C,91,24,0.9999330000000001,0.9731872035426373,0.952762928490738
Malaysia Peninsular Malay,C,59,22,0.9999999999999999,0.9444000000000002,0.9529820496259128
USA South Texas Hispanic,C,91,22,0.989,0.9292214357937312,0.9529997698129115
Singapore Javaneses,C,13,13,0.92,1.0,0.9531591730965335
Panama,C,44,22,0.9984,0.8870192307692306,0.9532433678385882
Taiwan Hakka,C,51,20,0.8340000000000001,0.9999999999999999,0.953546857120762
China Qinghai Province Hui,C,29,17,0.755,0.9364238410596027,0.9535802428667461
USA NMDP Hawaiian or other Pacific Islander,C,37,24,0.9995969999999998,0.9973019126708066,0.9537348944310282
Chile Santiago Mixed,C,21,16,0.6887,0.9636997241179033,0.9537561437405896
American Samoa,C,16,10,0.77,0.8311688311688311,0.9538692781090183
Taiwan Pazeh,C,51,20,0.8069999999999999,1.0000000000000002,0.9539267460746135
Papua New Guinea Karimui Plateau Pawaia,C,13,13,1.0,1.0,0.9541432556887024
Finland,C,15,14,0.8340000000000001,0.986810551558753,0.9541467342766541
China Guangzhou,C,18,18,0.985,1.0,0.954426295773315
Nicaragua Managua,C,31,20,1.0,0.8810999999999999,0.9544457012349911
Taiwan Siraya,C,51,20,0.796,0.9874371859296482,0.9544659974870848
Papua New Guinea Wosera Abelam,C,13,13,0.9999999999999999,1.0,0.9545269037336506
Singapore Thai,C,18,15,0.8940000000000001,0.9519015659955258,0.9545455446179371
China Yunnan Hani,C,14,14,0.999,1.0,0.9546427948390839
China Tibet Region Tibetan,C,141,18,0.645,0.9767441860465115,0.9547947020029794
Philippines Ivatan,C,52,21,0.91,0.9999999999999999,0.9550622645618183
Hong Kong Chinese BMDR,C,37,23,0.9998600000000001,0.9910387454243593,0.9551413429827444
China Hubei Han,C,43,22,0.9996999999999998,0.979693908172452,0.9552341793351864
Australia Cape York Peninsula Aborigine,C,15,15,1.0010000000000001,1.0,0.9552606872848743
China South Han,C,19,18,0.9990000000000001,0.9979979979979979,0.9552963211430323
Brazil Mixed,C,28,18,0.908,0.8898678414096917,0.9553360445536077
China Canton Han,C,20,18,0.9990000000000001,0.9939939939939939,0.9553423874942467
China Yunnan Province Han,C,15,14,1.003,0.9850448654037889,0.9553766465589313
USA NMDP Chinese,C,57,24,0.9999139999999999,0.9932254173858952,0.9555086598237559
Mexico Oaxaca Zapotec,C,15,12,0.991,0.9848637739656914,0.9556445650166328
China Yunnan Bulang,C,13,12,1.0,0.9960000000000001,0.9556751151077851
New Zealand Maori with Admixed History,C,16,16,1.001,1.0,0.9556976196693372
Mexico Mexico City Mestizo population,C,28,21,0.9898,0.9469589816124468,0.9557178541721996
Papua New Guinea Madang,C,13,13,1.0010000000000001,1.0,0.955735900068395
USA Asian,C,31,23,1.001,0.9960039960039963,0.9558001998993948
Ireland Northern,C,63,21,0.806,0.9999999999999999,0.9558524034898569
Mexico Mexico City Mestizo pop 2,C,27,21,0.989,0.9200202224469161,0.9558789446514558
USA Arizona Gila River Amerindian,C,11,10,1.0,0.9380000000000001,0.95595010865239
Malaysia Peninsular Chinese,C,30,17,1.0008000000000001,0.935251798561151,0.9560026425701158
China South Han pop 2,C,45,23,1.0007,0.9826121714799639,0.956063236766126
USA NMDP Filipino,C,63,24,1.00007,0.9851260411771177,0.9561419276768404
Australia Groote Eylandt Aborigine,C,12,12,1.0010000000000001,1.0,0.9561624975884085
South Korea pop 3,C,82,23,1.001,0.9920079920079922,0.9564131051236615
USA NMDP Korean,C,55,24,1.000028,0.9905752638926112,0.9564974861870511
Taiwan Atayal,C,51,20,0.8019999999999999,1.0,0.9569458492843338
Taiwan Han Chinese,C,23,19,1.0,0.9960000000000001,0.9569490354740979
Taiwan pop 2,C,23,19,0.9860000000000002,0.9817444219066935,0.957043122314853
China Southwest Dai,C,16,16,0.998,1.0,0.9570523395258579
New Caledonia,C,13,13,1.0,1.0,0.9571308022810947
Australia Yuendumu Aborigine,C,19,19,1.0,1.0,0.9572617473589713
China Guizhou Province Shui,C,17,13,0.952,0.9936974789915967,0.9575473513766988
Taiwan Tsou,C,51,20,0.697,1.0000000000000002,0.9578452514900156
Singapore SGVP Chinese CHS,C,25,21,0.999,0.9899899899899901,0.9579121414663914
Taiwan Minnan pop 1,C,52,21,0.858,0.9941724941724942,0.9579914870508209
China Guizhou Province Bouyei,C,17,13,0.939,0.9904153354632589,0.9581135517227934
USA NMDP Japanese,C,28,24,0.99799,0.9868535756871312,0.9581749788304491
Taiwan Ami,C,51,20,0.877,1.0000000000000002,0.9582538826506101
Japan pop 3,C,17,15,1.0010000000000001,0.984015984015984,0.9582554829220334
Japan pop 1,C,17,15,0.9990000000000001,0.9839839839839838,0.9582706577020226
Japan pop 16,C,29,20,1.0,0.9826999999999999,0.958378158316571
Taiwan Bunun,C,51,20,0.6629999999999999,1.0000000000000002,0.9584400507317598
Japan Central,C,16,14,0.999,0.975975975975976,0.9585488780870867
USA Hawaii Okinawa,C,11,11,0.881,1.0,0.9587517480619354
Iran Baloch,C,17,10,0.644,0.9052795031055901,0.9587694819158153
Japan Kyoto and Osaka,C,13,12,0.9839999999999999,0.9939024390243902,0.9588907570297799
Brazil Terena,C,7,7,1.0,1.0,0.9589749915135861
Colombia North Wiwa El Encanto,C,17,11,0.9998,0.9231846369273857,0.958990819428577
Taiwan Taroko,C,51,20,0.772,1.0,0.9591589138694466
Papua New Guinea East New Britain Rabaul,C,13,13,1.0,1.0,0.959353040131038
Japan pop 5,C,13,12,1.0,0.974,0.9595066548183011
China Guizhou Province Miao pop 2,C,17,13,0.929,0.9935414424111948,0.9599576092789102
Mexico Chiapas Lacandon Mayans,C,17,14,1.0001,0.974802519748025,0.9602485438980858
Mexico Oaxaca Mixe,C,9,8,1.0,0.962,0.9616457685125818
USA South Dakota Lakota Sioux,C,15,11,0.7110000000000001,0.6891701828410689,0.9617263838740588
Mexico Oaxaca Mixtec,C,15,12,0.991,0.9404641775983855,0.9623539094461696
Venezuela Perja Mountain Bari,C,5,4,0.5900000000000001,0.9745762711864406,0.9625877382699133
Taiwan Saisiat,C,51,20,0.8250000000000001,1.0000000000000002,0.9641764226999439
Venezuela Sierra de Perija Yucpa,C,5,4,1.0,0.869,0.9648999520697082
India Khandesh Region Pawra,C,28,11,0.6500000000000001,0.5076923076923077,0.9677163530114694
