model,auroc
sequence,0.9302983539094649
structure_rank,0.8569101508916324
rank_avg_w0.0,0.8569101508916324
rank_avg_w0.1,0.8835733882030179
rank_avg_w0.2,0.9111368312757202
rank_avg_w0.3,0.9286694101508915
rank_avg_w0.4,0.9438871742112482
rank_avg_w0.5,0.9514746227709191
rank_avg_w0.6,0.9555469821673525
rank_avg_w0.7,0.9566186556927297
rank_avg_w0.8,0.9543895747599451
rank_avg_w0.9,0.9508744855967078
rank_avg_w1.0,0.9459876543209877
gradient_boosting,0.8976766117969821
