model,auroc,diff,lo,hi
sequence_z,0.9298696844993141,,,
structure_z,0.9159807956104252,,,
gate_margin,0.9569615912208504,0.027466845762250898,-0.005962733269632519,0.06553815413226696
gate_entropy,0.9573045267489712,0.027780813825935297,-0.005817124640804564,0.06498636795945814
gate_ic,0.9622770919067215,0.0326681896780971,-0.0005167199816341504,0.06954332742902558
ungated,0.9579903978052126,,,
