feature,binder_mean,decoy_mean,auroc,auroc_z,direction
plddt_peptide_std,7.818900365596868,8.703481570727364,0.581275720164609,0.5842764060356653,-
plddt_anchor_gap,8.032363536155204,7.892108686067022,0.5060013717421126,0.4713648834019205,-
pae_peptide_std,3.7903846320178776,4.153220089497389,0.5546982167352538,0.5648148148148148,-
pae_asymmetry,3.912476881786629,5.260514950310743,0.6395747599451302,0.6562071330589849,-
